p_mut	p_inf	n_inf_n_maximum
1.0e-8	0.0	0
1.0e-8	0.0005	0
1.0e-8	0.001	0
1.0e-8	0.0015	0
1.0e-8	0.002	0
1.0e-8	0.0025	0
1.0e-8	0.003	0
1.0e-8	0.0035	0
1.0e-8	0.004	0
1.0e-8	0.0045	0
1.0e-8	0.005	0
1.0e-8	0.0055	0
1.0e-8	0.006	0
1.0e-8	0.0065	0
1.0e-8	0.007	0
1.0e-8	0.0075	4495
1.0e-8	0.008	4617
1.0e-8	0.0085	4691
1.0e-8	0.009	4797
1.0e-8	0.0095	4892
1.0e-8	0.01	4941
1.5848931924611136e-8	0.0	0
1.5848931924611136e-8	0.0005	0
1.5848931924611136e-8	0.001	0
1.5848931924611136e-8	0.0015	0
1.5848931924611136e-8	0.002	0
1.5848931924611136e-8	0.0025	0
1.5848931924611136e-8	0.003	0
1.5848931924611136e-8	0.0035	0
1.5848931924611136e-8	0.004	0
1.5848931924611136e-8	0.0045	0
1.5848931924611136e-8	0.005	0
1.5848931924611136e-8	0.0055	0
1.5848931924611136e-8	0.006	0
1.5848931924611136e-8	0.0065	0
1.5848931924611136e-8	0.007	4630
1.5848931924611136e-8	0.0075	4781
1.5848931924611136e-8	0.008	4880
1.5848931924611136e-8	0.0085	4927
1.5848931924611136e-8	0.009	4972
1.5848931924611136e-8	0.0095	4942
1.5848931924611136e-8	0.01	4958
2.51188643150958e-8	0.0	0
2.51188643150958e-8	0.0005	0
2.51188643150958e-8	0.001	0
2.51188643150958e-8	0.0015	0
2.51188643150958e-8	0.002	0
2.51188643150958e-8	0.0025	0
2.51188643150958e-8	0.003	0
2.51188643150958e-8	0.0035	0
2.51188643150958e-8	0.004	0
2.51188643150958e-8	0.0045	0
2.51188643150958e-8	0.005	0
2.51188643150958e-8	0.0055	0
2.51188643150958e-8	0.006	4954
2.51188643150958e-8	0.0065	4980
2.51188643150958e-8	0.007	0
2.51188643150958e-8	0.0075	4963
2.51188643150958e-8	0.008	4997
2.51188643150958e-8	0.0085	4998
2.51188643150958e-8	0.009	5000
2.51188643150958e-8	0.0095	4998
2.51188643150958e-8	0.01	4999
3.981071705534972e-8	0.0	0
3.981071705534972e-8	0.0005	0
3.981071705534972e-8	0.001	0
3.981071705534972e-8	0.0015	0
3.981071705534972e-8	0.002	0
3.981071705534972e-8	0.0025	0
3.981071705534972e-8	0.003	0
3.981071705534972e-8	0.0035	0
3.981071705534972e-8	0.004	0
3.981071705534972e-8	0.0045	0
3.981071705534972e-8	0.005	0
3.981071705534972e-8	0.0055	0
3.981071705534972e-8	0.006	0
3.981071705534972e-8	0.0065	4875
3.981071705534972e-8	0.007	4996
3.981071705534972e-8	0.0075	4996
3.981071705534972e-8	0.008	4999
3.981071705534972e-8	0.0085	5000
3.981071705534972e-8	0.009	5000
3.981071705534972e-8	0.0095	5000
3.981071705534972e-8	0.01	5000
6.309573444801934e-8	0.0	0
6.309573444801934e-8	0.0005	0
6.309573444801934e-8	0.001	0
6.309573444801934e-8	0.0015	0
6.309573444801934e-8	0.002	0
6.309573444801934e-8	0.0025	0
6.309573444801934e-8	0.003	0
6.309573444801934e-8	0.0035	0
6.309573444801934e-8	0.004	0
6.309573444801934e-8	0.0045	0
6.309573444801934e-8	0.005	0
6.309573444801934e-8	0.0055	0
6.309573444801934e-8	0.006	0
6.309573444801934e-8	0.0065	0
6.309573444801934e-8	0.007	4980
6.309573444801934e-8	0.0075	5000
6.309573444801934e-8	0.008	5000
6.309573444801934e-8	0.0085	5000
6.309573444801934e-8	0.009	5000
6.309573444801934e-8	0.0095	5000
6.309573444801934e-8	0.01	5000
1.0e-7	0.0	0
1.0e-7	0.0005	0
1.0e-7	0.001	0
1.0e-7	0.0015	0
1.0e-7	0.002	0
1.0e-7	0.0025	0
1.0e-7	0.003	0
1.0e-7	0.0035	0
1.0e-7	0.004	0
1.0e-7	0.0045	0
1.0e-7	0.005	0
1.0e-7	0.0055	0
1.0e-7	0.006	0
1.0e-7	0.0065	0
1.0e-7	0.007	5000
1.0e-7	0.0075	5000
1.0e-7	0.008	5000
1.0e-7	0.0085	5000
1.0e-7	0.009	5000
1.0e-7	0.0095	5000
1.0e-7	0.01	5000
1.5848931924611133e-7	0.0	0
1.5848931924611133e-7	0.0005	0
1.5848931924611133e-7	0.001	0
1.5848931924611133e-7	0.0015	0
1.5848931924611133e-7	0.002	0
1.5848931924611133e-7	0.0025	0
1.5848931924611133e-7	0.003	0
1.5848931924611133e-7	0.0035	0
1.5848931924611133e-7	0.004	0
1.5848931924611133e-7	0.0045	0
1.5848931924611133e-7	0.005	0
1.5848931924611133e-7	0.0055	0
1.5848931924611133e-7	0.006	5000
1.5848931924611133e-7	0.0065	5000
1.5848931924611133e-7	0.007	5000
1.5848931924611133e-7	0.0075	5000
1.5848931924611133e-7	0.008	5000
1.5848931924611133e-7	0.0085	5000
1.5848931924611133e-7	0.009	5000
1.5848931924611133e-7	0.0095	5000
1.5848931924611133e-7	0.01	5000
2.5118864315095796e-7	0.0	0
2.5118864315095796e-7	0.0005	0
2.5118864315095796e-7	0.001	0
2.5118864315095796e-7	0.0015	0
2.5118864315095796e-7	0.002	0
2.5118864315095796e-7	0.0025	0
2.5118864315095796e-7	0.003	0
2.5118864315095796e-7	0.0035	0
2.5118864315095796e-7	0.004	0
2.5118864315095796e-7	0.0045	0
2.5118864315095796e-7	0.005	0
2.5118864315095796e-7	0.0055	0
2.5118864315095796e-7	0.006	0
2.5118864315095796e-7	0.0065	5000
2.5118864315095796e-7	0.007	5000
2.5118864315095796e-7	0.0075	5000
2.5118864315095796e-7	0.008	5000
2.5118864315095796e-7	0.0085	5000
2.5118864315095796e-7	0.009	5000
2.5118864315095796e-7	0.0095	5000
2.5118864315095796e-7	0.01	5000
3.9810717055349735e-7	0.0	0
3.9810717055349735e-7	0.0005	0
3.9810717055349735e-7	0.001	0
3.9810717055349735e-7	0.0015	0
3.9810717055349735e-7	0.002	0
3.9810717055349735e-7	0.0025	0
3.9810717055349735e-7	0.003	0
3.9810717055349735e-7	0.0035	0
3.9810717055349735e-7	0.004	0
3.9810717055349735e-7	0.0045	0
3.9810717055349735e-7	0.005	0
3.9810717055349735e-7	0.0055	5000
3.9810717055349735e-7	0.006	5000
3.9810717055349735e-7	0.0065	5000
3.9810717055349735e-7	0.007	5000
3.9810717055349735e-7	0.0075	5000
3.9810717055349735e-7	0.008	5000
3.9810717055349735e-7	0.0085	5000
3.9810717055349735e-7	0.009	5000
3.9810717055349735e-7	0.0095	5000
3.9810717055349735e-7	0.01	5000
6.309573444801933e-7	0.0	0
6.309573444801933e-7	0.0005	0
6.309573444801933e-7	0.001	0
6.309573444801933e-7	0.0015	0
6.309573444801933e-7	0.002	0
6.309573444801933e-7	0.0025	0
6.309573444801933e-7	0.003	0
6.309573444801933e-7	0.0035	0
6.309573444801933e-7	0.004	0
6.309573444801933e-7	0.0045	0
6.309573444801933e-7	0.005	0
6.309573444801933e-7	0.0055	5000
6.309573444801933e-7	0.006	5000
6.309573444801933e-7	0.0065	5000
6.309573444801933e-7	0.007	5000
6.309573444801933e-7	0.0075	5000
6.309573444801933e-7	0.008	5000
6.309573444801933e-7	0.0085	5000
6.309573444801933e-7	0.009	5000
6.309573444801933e-7	0.0095	5000
6.309573444801933e-7	0.01	5000
1.0e-6	0.0	0
1.0e-6	0.0005	0
1.0e-6	0.001	0
1.0e-6	0.0015	0
1.0e-6	0.002	0
1.0e-6	0.0025	0
1.0e-6	0.003	0
1.0e-6	0.0035	0
1.0e-6	0.004	0
1.0e-6	0.0045	0
1.0e-6	0.005	5000
1.0e-6	0.0055	0
1.0e-6	0.006	5000
1.0e-6	0.0065	5000
1.0e-6	0.007	5000
1.0e-6	0.0075	5000
1.0e-6	0.008	5000
1.0e-6	0.0085	5000
1.0e-6	0.009	5000
1.0e-6	0.0095	5000
1.0e-6	0.01	5000
1.5848931924611143e-6	0.0	0
1.5848931924611143e-6	0.0005	0
1.5848931924611143e-6	0.001	0
1.5848931924611143e-6	0.0015	0
1.5848931924611143e-6	0.002	0
1.5848931924611143e-6	0.0025	0
1.5848931924611143e-6	0.003	0
1.5848931924611143e-6	0.0035	0
1.5848931924611143e-6	0.004	0
1.5848931924611143e-6	0.0045	5000
1.5848931924611143e-6	0.005	0
1.5848931924611143e-6	0.0055	0
1.5848931924611143e-6	0.006	5000
1.5848931924611143e-6	0.0065	5000
1.5848931924611143e-6	0.007	5000
1.5848931924611143e-6	0.0075	5000
1.5848931924611143e-6	0.008	5000
1.5848931924611143e-6	0.0085	5000
1.5848931924611143e-6	0.009	5000
1.5848931924611143e-6	0.0095	5000
1.5848931924611143e-6	0.01	5000
2.5118864315095797e-6	0.0	0
2.5118864315095797e-6	0.0005	0
2.5118864315095797e-6	0.001	0
2.5118864315095797e-6	0.0015	0
2.5118864315095797e-6	0.002	0
2.5118864315095797e-6	0.0025	0
2.5118864315095797e-6	0.003	0
2.5118864315095797e-6	0.0035	0
2.5118864315095797e-6	0.004	0
2.5118864315095797e-6	0.0045	5000
2.5118864315095797e-6	0.005	5000
2.5118864315095797e-6	0.0055	5000
2.5118864315095797e-6	0.006	5000
2.5118864315095797e-6	0.0065	5000
2.5118864315095797e-6	0.007	5000
2.5118864315095797e-6	0.0075	5000
2.5118864315095797e-6	0.008	5000
2.5118864315095797e-6	0.0085	5000
2.5118864315095797e-6	0.009	5000
2.5118864315095797e-6	0.0095	5000
2.5118864315095797e-6	0.01	5000
3.981071705534973e-6	0.0	0
3.981071705534973e-6	0.0005	0
3.981071705534973e-6	0.001	0
3.981071705534973e-6	0.0015	0
3.981071705534973e-6	0.002	0
3.981071705534973e-6	0.0025	0
3.981071705534973e-6	0.003	0
3.981071705534973e-6	0.0035	0
3.981071705534973e-6	0.004	0
3.981071705534973e-6	0.0045	0
3.981071705534973e-6	0.005	5000
3.981071705534973e-6	0.0055	5000
3.981071705534973e-6	0.006	5000
3.981071705534973e-6	0.0065	5000
3.981071705534973e-6	0.007	5000
3.981071705534973e-6	0.0075	5000
3.981071705534973e-6	0.008	5000
3.981071705534973e-6	0.0085	5000
3.981071705534973e-6	0.009	5000
3.981071705534973e-6	0.0095	5000
3.981071705534973e-6	0.01	5000
6.3095734448019305e-6	0.0	0
6.3095734448019305e-6	0.0005	0
6.3095734448019305e-6	0.001	0
6.3095734448019305e-6	0.0015	0
6.3095734448019305e-6	0.002	0
6.3095734448019305e-6	0.0025	0
6.3095734448019305e-6	0.003	0
6.3095734448019305e-6	0.0035	0
6.3095734448019305e-6	0.004	0
6.3095734448019305e-6	0.0045	5000
6.3095734448019305e-6	0.005	5000
6.3095734448019305e-6	0.0055	5000
6.3095734448019305e-6	0.006	5000
6.3095734448019305e-6	0.0065	5000
6.3095734448019305e-6	0.007	5000
6.3095734448019305e-6	0.0075	5000
6.3095734448019305e-6	0.008	5000
6.3095734448019305e-6	0.0085	5000
6.3095734448019305e-6	0.009	5000
6.3095734448019305e-6	0.0095	5000
6.3095734448019305e-6	0.01	5000
1.0e-5	0.0	0
1.0e-5	0.0005	0
1.0e-5	0.001	0
1.0e-5	0.0015	0
1.0e-5	0.002	0
1.0e-5	0.0025	0
1.0e-5	0.003	5000
1.0e-5	0.0035	5000
1.0e-5	0.004	0
1.0e-5	0.0045	5000
1.0e-5	0.005	5000
1.0e-5	0.0055	5000
1.0e-5	0.006	5000
1.0e-5	0.0065	5000
1.0e-5	0.007	5000
1.0e-5	0.0075	5000
1.0e-5	0.008	5000
1.0e-5	0.0085	5000
1.0e-5	0.009	5000
1.0e-5	0.0095	5000
1.0e-5	0.01	5000
1.584893192461114e-5	0.0	0
1.584893192461114e-5	0.0005	0
1.584893192461114e-5	0.001	0
1.584893192461114e-5	0.0015	0
1.584893192461114e-5	0.002	0
1.584893192461114e-5	0.0025	0
1.584893192461114e-5	0.003	5000
1.584893192461114e-5	0.0035	5000
1.584893192461114e-5	0.004	5000
1.584893192461114e-5	0.0045	5000
1.584893192461114e-5	0.005	5000
1.584893192461114e-5	0.0055	5000
1.584893192461114e-5	0.006	5000
1.584893192461114e-5	0.0065	5000
1.584893192461114e-5	0.007	5000
1.584893192461114e-5	0.0075	5000
1.584893192461114e-5	0.008	5000
1.584893192461114e-5	0.0085	5000
1.584893192461114e-5	0.009	5000
1.584893192461114e-5	0.0095	5000
1.584893192461114e-5	0.01	5000
2.5118864315095798e-5	0.0	0
2.5118864315095798e-5	0.0005	0
2.5118864315095798e-5	0.001	0
2.5118864315095798e-5	0.0015	0
2.5118864315095798e-5	0.002	0
2.5118864315095798e-5	0.0025	0
2.5118864315095798e-5	0.003	5000
2.5118864315095798e-5	0.0035	5000
2.5118864315095798e-5	0.004	5000
2.5118864315095798e-5	0.0045	5000
2.5118864315095798e-5	0.005	5000
2.5118864315095798e-5	0.0055	5000
2.5118864315095798e-5	0.006	5000
2.5118864315095798e-5	0.0065	5000
2.5118864315095798e-5	0.007	5000
2.5118864315095798e-5	0.0075	5000
2.5118864315095798e-5	0.008	5000
2.5118864315095798e-5	0.0085	5000
2.5118864315095798e-5	0.009	5000
2.5118864315095798e-5	0.0095	5000
2.5118864315095798e-5	0.01	5000
3.9810717055349735e-5	0.0	0
3.9810717055349735e-5	0.0005	0
3.9810717055349735e-5	0.001	0
3.9810717055349735e-5	0.0015	0
3.9810717055349735e-5	0.002	0
3.9810717055349735e-5	0.0025	5000
3.9810717055349735e-5	0.003	5000
3.9810717055349735e-5	0.0035	5000
3.9810717055349735e-5	0.004	5000
3.9810717055349735e-5	0.0045	5000
3.9810717055349735e-5	0.005	5000
3.9810717055349735e-5	0.0055	5000
3.9810717055349735e-5	0.006	5000
3.9810717055349735e-5	0.0065	5000
3.9810717055349735e-5	0.007	5000
3.9810717055349735e-5	0.0075	5000
3.9810717055349735e-5	0.008	5000
3.9810717055349735e-5	0.0085	5000
3.9810717055349735e-5	0.009	5000
3.9810717055349735e-5	0.0095	5000
3.9810717055349735e-5	0.01	5000
6.30957344480193e-5	0.0	0
6.30957344480193e-5	0.0005	0
6.30957344480193e-5	0.001	0
6.30957344480193e-5	0.0015	0
6.30957344480193e-5	0.002	5000
6.30957344480193e-5	0.0025	5000
6.30957344480193e-5	0.003	5000
6.30957344480193e-5	0.0035	5000
6.30957344480193e-5	0.004	5000
6.30957344480193e-5	0.0045	5000
6.30957344480193e-5	0.005	5000
6.30957344480193e-5	0.0055	5000
6.30957344480193e-5	0.006	5000
6.30957344480193e-5	0.0065	5000
6.30957344480193e-5	0.007	5000
6.30957344480193e-5	0.0075	5000
6.30957344480193e-5	0.008	5000
6.30957344480193e-5	0.0085	5000
6.30957344480193e-5	0.009	5000
6.30957344480193e-5	0.0095	5000
6.30957344480193e-5	0.01	5000
0.0001	0.0	0
0.0001	0.0005	0
0.0001	0.001	0
0.0001	0.0015	5000
0.0001	0.002	5000
0.0001	0.0025	5000
0.0001	0.003	5000
0.0001	0.0035	5000
0.0001	0.004	5000
0.0001	0.0045	5000
0.0001	0.005	5000
0.0001	0.0055	5000
0.0001	0.006	5000
0.0001	0.0065	5000
0.0001	0.007	5000
0.0001	0.0075	5000
0.0001	0.008	5000
0.0001	0.0085	5000
0.0001	0.009	5000
0.0001	0.0095	5000
0.0001	0.01	5000
0.00015848931924611142	0.0	0
0.00015848931924611142	0.0005	5000
0.00015848931924611142	0.001	0
0.00015848931924611142	0.0015	5000
0.00015848931924611142	0.002	5000
0.00015848931924611142	0.0025	5000
0.00015848931924611142	0.003	5000
0.00015848931924611142	0.0035	5000
0.00015848931924611142	0.004	5000
0.00015848931924611142	0.0045	5000
0.00015848931924611142	0.005	5000
0.00015848931924611142	0.0055	5000
0.00015848931924611142	0.006	5000
